Date,Code,Name,Cell,Base_Price,1D_Return,3D_Return,5D_Return,Settled_Count,Type1,Type2,Type3,Break_MA5,Break_MA20,Break_MA60
2026-05-28,290690,소룩스,R1C1,5520.0,-1.45,-9.24,-9.24,3,,,,,,
2026-05-28,204620,글로벌텍스프리,R2C1,4810.0,-3.33,-4.05,-4.05,3,,,,,,
2026-05-28,361610,SK아이이테크놀로지,R2C2,19750.0,-4.15,-2.23,-2.23,3,,,,,,
2026-05-28,084990,헬릭스미스,R1C3,7560.0,0.0,-15.74,-15.74,3,,,,,,
2026-05-28,091810,트리니티항공,R1C1,893.0,-1.79,-2.02,-2.02,3,,,,,,
2026-05-28,021240,코웨이,R1C1,93700.0,-3.95,-3.95,-3.95,3,,,,,,
2026-05-28,032580,피델릭스,R4C3,6810.0,-16.59,-13.51,-13.51,3,,,,,,
2026-05-28,025320,시노펙스,R2C2,5060.0,-3.85,-1.58,-1.58,3,,,,,,
2026-05-28,024840,KBI메탈,R3C1,5940.0,-9.09,-9.6,-9.6,3,,,,,,
2026-05-28,232680,라온로보틱스,R2C2,21600.0,-3.01,-9.58,-9.58,3,,,,,,
2026-05-28,107640,한중엔시에스,R4C1,56400.0,-6.38,-10.46,-13.03,3,,,,,,
2026-05-28,024800,유성티엔에스,R4C4,5980.0,-16.39,-16.39,-18.98,3,,,,,,
2026-05-28,006110,삼아알미늄,R3C1,87500.0,-16.8,-16.8,-19.31,3,,,,,,
2026-05-28,099440,스맥,R3C2,3775.0,-7.81,-7.15,-7.15,3,,,,,,
2026-05-28,136480,하림,R1C1,2925.0,-1.37,-1.2,-1.2,3,,,,,,
2026-05-28,000430,대원강업,R1C2,4720.0,-0.21,-3.18,0.85,3,,,,,,
2026-05-28,018250,애경산업,R2C4,13160.0,7.6,7.6,-3.5,3,,,,,,
2026-05-28,149950,아바텍,R3C4,15680.0,-7.02,0.13,0.13,3,,,,,,
2026-05-28,0088M0,메쥬,R4C2,30450.0,-15.44,-18.88,-25.45,3,,,,,,
2026-05-28,009410,태영건설,R1C1,1706.0,0.0,-0.06,-2.29,3,,,,,,
2026-05-28,486990,노타,R4C1,34600.0,11.27,11.27,13.58,3,,,,,,
2026-05-28,356860,티엘비,R3C2,127300.0,-6.91,-11.39,-11.39,3,,,,,,
2026-05-28,005440,현대지에프홀딩스,R1C1,13290.0,3.31,3.31,-0.15,3,,,,,,
2026-05-28,181710,NHN,R3C2,40000.0,27.25,27.25,36.25,3,,,,,,
2026-05-28,004090,한국석유,R1C4,13180.0,-4.02,-4.4,-8.73,3,,,,,,
2026-05-28,365270,큐라클,R3C1,15240.0,3.35,3.35,-4.86,3,,,,,,
2026-05-28,306620,지아이에스,R1C2,3375.0,-1.93,-4.74,-4.74,3,,,,,,
2026-05-28,020560,아시아나항공,R1C1,7440.0,-1.48,-1.48,-6.18,3,,,,,,
2026-05-28,259960,크래프톤,R1C1,257500.0,0.0,0.0,1.55,3,,,,,,
2026-05-28,382840,원준,R4C4,9960.0,0.5,0.5,-16.06,3,,,,,,
2026-05-28,018470,조일알미늄,R1C1,1353.0,-1.18,-5.25,-5.25,3,,,,,,
2026-05-28,041960,코미팜,R2C2,7690.0,-5.59,-2.73,-5.07,3,,,,,,
2026-05-28,001040,CJ,R1C1,171300.0,-5.6,-5.6,-1.46,3,,,,,,
2026-05-28,036010,아비코전자,R3C2,13430.0,0.0,-14.15,-2.53,3,,,,,,
2026-05-28,388790,라이콤,R2C3,4965.0,-3.83,-4.63,-18.13,3,,,,,,
2026-05-28,271560,오리온,R1C2,134200.0,-3.43,-3.43,-4.77,3,,,,,,
2026-05-28,117580,대성에너지,R1C3,7690.0,-1.69,-3.25,-6.63,3,,,,,,
2026-05-28,189300,인텔리안테크,R2C2,150000.0,-5.53,-11.27,-11.27,3,,,,,,
2026-05-28,023760,한국캐피탈,R1C2,786.0,-2.29,-1.02,-6.49,3,,,,,,
2026-05-28,002350,넥센타이어,R1C2,6550.0,0.31,2.44,3.82,3,,,,,,
2026-05-28,420770,기가비스,R1C2,130700.0,-2.37,8.19,8.19,3,,,,,,
2026-05-28,066980,한성크린텍,R4C3,2355.0,-4.67,-15.63,-25.22,3,,,,,,
2026-05-29,005930,삼성전자,R2C2,317000.0,0.0,0.0,10.09,3,,,,,,
2026-05-29,066570,LG전자,R4C3,293000.0,0.0,0.0,29.86,3,,,,,,
2026-05-29,035420,NAVER,R4C4,234000.0,0.0,0.0,16.03,3,,,,,,
